tensor(0.0790, device='cuda:0')
tensor(0.0929, device='cuda:0')
tensor(0.0881, device='cuda:0')
tensor(0.0574, device='cuda:0')
tensor(0.0174, device='cuda:0')
tensor(0.1412, device='cuda:0')
tensor(0.1387, device='cuda:0')
tensor(0.0348, device='cuda:0')
tensor(0.0724, device='cuda:0')
tensor(0.0937, device='cuda:0')
tensor(0.1014, device='cuda:0')
tensor(0.0623, device='cuda:0')
tensor(0.0421, device='cuda:0')
tensor(0.1182, device='cuda:0')
tensor(0.0790, device='cuda:0')
tensor(0.0712, device='cuda:0')
tensor(0.1268, device='cuda:0')
tensor(0.0785, device='cuda:0')
tensor(0.0729, device='cuda:0')
tensor(0.0365, device='cuda:0')
tensor(0.0167, device='cuda:0')
tensor(0.1620, device='cuda:0')
tensor(0.1623, device='cuda:0')
tensor(0.0243, device='cuda:0')
tensor(0.0556, device='cuda:0')
tensor(0.1031, device='cuda:0')
tensor(0.1150, device='cuda:0')
tensor(0.0630, device='cuda:0')
tensor(0.0419, device='cuda:0')
tensor(0.1158, device='cuda:0')
tensor(0.0994, device='cuda:0')
tensor(0.0644, device='cuda:0')
tensor(0.1258, device='cuda:0')
tensor(0.0788, device='cuda:0')
tensor(0.0905, device='cuda:0')
tensor(0.0905, device='cuda:0')
tensor(0.0539, device='cuda:0')
tensor(0.1167, device='cuda:0')
tensor(0.1017, device='cuda:0')
tensor(0.0938, device='cuda:0')
tensor(0.1705, device='cuda:0')
tensor(0.0810, device='cuda:0')
tensor(0.0938, device='cuda:0')
tensor(0.0527, device='cuda:0')
tensor(0.0355, device='cuda:0')
tensor(0.1175, device='cuda:0')
tensor(0.0861, device='cuda:0')
tensor(0.0617, device='cuda:0')
tensor(0.1219, device='cuda:0')
tensor(0.0802, device='cuda:0')
tensor(0.0805, device='cuda:0')
tensor(0.0504, device='cuda:0')
tensor(0.0269, device='cuda:0')
tensor(0.1287, device='cuda:0')
tensor(0.0994, device='cuda:0')
tensor(0.0416, device='cuda:0')
tensor(0.0991, device='cuda:0')
tensor(0.0821, device='cuda:0')
tensor(0.0883, device='cuda:0')
tensor(0.0392, device='cuda:0')
tensor(0.0239, device='cuda:0')
tensor(0.1391, device='cuda:0')
tensor(0.1317, device='cuda:0')
tensor(0.0254, device='cuda:0')
tensor(0.0829, device='cuda:0')
tensor(0.0948, device='cuda:0')
tensor(0.1088, device='cuda:0')
tensor(0.0489, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.1380, device='cuda:0')
tensor(0.1143, device='cuda:0')
tensor(0.0338, device='cuda:0')
tensor(0.0912, device='cuda:0')
tensor(0.0865, device='cuda:0')
tensor(0.1023, device='cuda:0')
tensor(0.0169, device='cuda:0')
tensor(0.0246, device='cuda:0')
tensor(0.2328, device='cuda:0')
tensor(0.1801, device='cuda:0')
tensor(0.0089, device='cuda:0')
tensor(0.0409, device='cuda:0')
tensor(0.1590, device='cuda:0')
tensor(0.1540, device='cuda:0')
tensor(0.0433, device='cuda:0')
tensor(0.0236, device='cuda:0')
tensor(0.1414, device='cuda:0')
tensor(0.1223, device='cuda:0')
tensor(0.0371, device='cuda:0')
tensor(0.0829, device='cuda:0')
tensor(0.0933, device='cuda:0')
tensor(0.1165, device='cuda:0')
tensor(0.0773, device='cuda:0')
tensor(0.0370, device='cuda:0')
tensor(0.1064, device='cuda:0')
tensor(0.0848, device='cuda:0')
tensor(0.0563, device='cuda:0')
tensor(0.1270, device='cuda:0')
tensor(0.0762, device='cuda:0')
tensor(0.1013, device='cuda:0')
tensor(0.0503, device='cuda:0')
tensor(0.0273, device='cuda:0')
tensor(0.1275, device='cuda:0')
tensor(0.1128, device='cuda:0')
tensor(0.0396, device='cuda:0')
tensor(0.1078, device='cuda:0')
tensor(0.0882, device='cuda:0')
