tensor(0.0184, grad_fn=<MseLossBackward>)
tensor(0.1259, grad_fn=<MseLossBackward>)
tensor(0.1264, grad_fn=<MseLossBackward>)
tensor(0.0123, grad_fn=<MseLossBackward>)
tensor(0.0284, grad_fn=<MseLossBackward>)
tensor(0.0364, grad_fn=<MseLossBackward>)
tensor(0.1212, grad_fn=<MseLossBackward>)
tensor(0.0109, grad_fn=<MseLossBackward>)
tensor(0.0256, grad_fn=<MseLossBackward>)
tensor(0.1092, grad_fn=<MseLossBackward>)
tensor(0.1141, grad_fn=<MseLossBackward>)
tensor(0.0140, grad_fn=<MseLossBackward>)
tensor(0.0144, grad_fn=<MseLossBackward>)
tensor(0.1473, grad_fn=<MseLossBackward>)
tensor(0.0228, grad_fn=<MseLossBackward>)
tensor(0.1202, grad_fn=<MseLossBackward>)
tensor(0.1895, grad_fn=<MseLossBackward>)
tensor(0.0366, grad_fn=<MseLossBackward>)
tensor(0.0287, grad_fn=<MseLossBackward>)
tensor(0.0326, grad_fn=<MseLossBackward>)
tensor(0.0225, grad_fn=<MseLossBackward>)
tensor(0.1480, grad_fn=<MseLossBackward>)
tensor(0.0241, grad_fn=<MseLossBackward>)
tensor(0.0083, grad_fn=<MseLossBackward>)
tensor(0.1684, grad_fn=<MseLossBackward>)
tensor(0.1421, grad_fn=<MseLossBackward>)
tensor(0.1350, grad_fn=<MseLossBackward>)
tensor(0.0117, grad_fn=<MseLossBackward>)
tensor(0.0182, grad_fn=<MseLossBackward>)
tensor(0.0366, grad_fn=<MseLossBackward>)
tensor(0.0125, grad_fn=<MseLossBackward>)
tensor(0.1280, grad_fn=<MseLossBackward>)
tensor(0.0316, grad_fn=<MseLossBackward>)
tensor(0.0207, grad_fn=<MseLossBackward>)
tensor(0.1279, grad_fn=<MseLossBackward>)
tensor(0.1131, grad_fn=<MseLossBackward>)
tensor(0.0179, grad_fn=<MseLossBackward>)
tensor(0.0090, grad_fn=<MseLossBackward>)
tensor(0.1262, grad_fn=<MseLossBackward>)
tensor(0.1336, grad_fn=<MseLossBackward>)
tensor(0.0379, grad_fn=<MseLossBackward>)
tensor(0.0235, grad_fn=<MseLossBackward>)
tensor(0.0219, grad_fn=<MseLossBackward>)
tensor(0.0189, grad_fn=<MseLossBackward>)
tensor(0.1389, grad_fn=<MseLossBackward>)
tensor(0.0255, grad_fn=<MseLossBackward>)
tensor(0.0078, grad_fn=<MseLossBackward>)
tensor(0.0095, grad_fn=<MseLossBackward>)
tensor(0.0268, grad_fn=<MseLossBackward>)
tensor(0.0315, grad_fn=<MseLossBackward>)
tensor(0.0144, grad_fn=<MseLossBackward>)
tensor(0.0172, grad_fn=<MseLossBackward>)
tensor(0.1141, grad_fn=<MseLossBackward>)
