tensor(0.0082, device='cuda:0')
tensor(0.1060, device='cuda:0')
tensor(0.0331, device='cuda:0')
tensor(0.0544, device='cuda:0')
tensor(0.0180, device='cuda:0')
tensor(0.1295, device='cuda:0')
tensor(0.0564, device='cuda:0')
tensor(0.0531, device='cuda:0')
tensor(0.0238, device='cuda:0')
tensor(0.0609, device='cuda:0')
tensor(0.0146, device='cuda:0')
tensor(0.0258, device='cuda:0')
tensor(0.0044, device='cuda:0')
tensor(0.1792, device='cuda:0')
tensor(0.1026, device='cuda:0')
tensor(0.0344, device='cuda:0')
tensor(0.0163, device='cuda:0')
tensor(0.1060, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.0165, device='cuda:0')
tensor(0.0043, device='cuda:0')
tensor(0.1694, device='cuda:0')
tensor(0.0962, device='cuda:0')
tensor(0.0321, device='cuda:0')
tensor(0.0197, device='cuda:0')
tensor(0.1010, device='cuda:0')
tensor(0.0253, device='cuda:0')
tensor(0.0264, device='cuda:0')
tensor(0.0078, device='cuda:0')
tensor(0.1438, device='cuda:0')
tensor(0.0689, device='cuda:0')
tensor(0.0382, device='cuda:0')
tensor(0.0243, device='cuda:0')
tensor(0.0821, device='cuda:0')
tensor(0.0205, device='cuda:0')
tensor(0.0122, device='cuda:0')
tensor(0.0054, device='cuda:0')
tensor(0.1870, device='cuda:0')
tensor(0.1401, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.0075, device='cuda:0')
tensor(0.1196, device='cuda:0')
tensor(0.0386, device='cuda:0')
tensor(0.0086, device='cuda:0')
tensor(0.0035, device='cuda:0')
tensor(0.2013, device='cuda:0')
tensor(0.1370, device='cuda:0')
tensor(0.0214, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.1215, device='cuda:0')
tensor(0.0433, device='cuda:0')
tensor(0.0329, device='cuda:0')
tensor(0.0111, device='cuda:0')
tensor(0.1259, device='cuda:0')
tensor(0.0529, device='cuda:0')
tensor(0.0478, device='cuda:0')
tensor(0.0317, device='cuda:0')
tensor(0.0595, device='cuda:0')
tensor(0.0139, device='cuda:0')
tensor(0.0176, device='cuda:0')
tensor(0.0152, device='cuda:0')
tensor(0.1667, device='cuda:0')
tensor(0.0937, device='cuda:0')
tensor(0.0327, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.1137, device='cuda:0')
tensor(0.0181, device='cuda:0')
tensor(0.0238, device='cuda:0')
tensor(0.0052, device='cuda:0')
tensor(0.2017, device='cuda:0')
tensor(0.1148, device='cuda:0')
tensor(0.0312, device='cuda:0')
tensor(0.0126, device='cuda:0')
tensor(0.1403, device='cuda:0')
tensor(0.0249, device='cuda:0')
tensor(0.0087, device='cuda:0')
tensor(0.0043, device='cuda:0')
tensor(0.1957, device='cuda:0')
tensor(0.1568, device='cuda:0')
tensor(0.0182, device='cuda:0')
tensor(0.0069, device='cuda:0')
tensor(0.1204, device='cuda:0')
tensor(0.0566, device='cuda:0')
tensor(0.0419, device='cuda:0')
tensor(0.0092, device='cuda:0')
tensor(0.1608, device='cuda:0')
tensor(0.0821, device='cuda:0')
tensor(0.0363, device='cuda:0')
tensor(0.0129, device='cuda:0')
tensor(0.0992, device='cuda:0')
tensor(0.0192, device='cuda:0')
tensor(0.0493, device='cuda:0')
tensor(0.0152, device='cuda:0')
tensor(0.1237, device='cuda:0')
tensor(0.0608, device='cuda:0')
tensor(0.0448, device='cuda:0')
tensor(0.0229, device='cuda:0')
tensor(0.0817, device='cuda:0')
tensor(0.0188, device='cuda:0')
tensor(0.0309, device='cuda:0')
tensor(0.0123, device='cuda:0')
tensor(0.1484, device='cuda:0')
tensor(0.0597, device='cuda:0')
tensor(0.0344, device='cuda:0')
tensor(0.0193, device='cuda:0')
tensor(0.0856, device='cuda:0')
tensor(0.0145, device='cuda:0')
tensor(0.0276, device='cuda:0')
tensor(0.0096, device='cuda:0')
tensor(0.1444, device='cuda:0')
tensor(0.0719, device='cuda:0')
tensor(0.0351, device='cuda:0')
tensor(0.0187, device='cuda:0')
tensor(0.0846, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.0156, device='cuda:0')
tensor(0.0064, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.0872, device='cuda:0')
tensor(0.0301, device='cuda:0')
tensor(0.0167, device='cuda:0')
tensor(0.1088, device='cuda:0')
tensor(0.0249, device='cuda:0')
tensor(0.0458, device='cuda:0')
tensor(0.0088, device='cuda:0')
tensor(0.1561, device='cuda:0')
tensor(0.0715, device='cuda:0')
tensor(0.0470, device='cuda:0')
tensor(0.0219, device='cuda:0')
tensor(0.0960, device='cuda:0')
tensor(0.0193, device='cuda:0')
tensor(0.0454, device='cuda:0')
tensor(0.0192, device='cuda:0')
tensor(0.1413, device='cuda:0')
tensor(0.0426, device='cuda:0')
tensor(0.0489, device='cuda:0')
tensor(0.0327, device='cuda:0')
tensor(0.0656, device='cuda:0')
tensor(0.0166, device='cuda:0')
tensor(0.0096, device='cuda:0')
tensor(0.0068, device='cuda:0')
